id,date,address,ward,trees,source,year
201100267,2011-07-11 12:00:00,3302 W PERSHING RD,12,1,dss,2011.0
201100504,2011-07-12 12:00:00,2514 W 100TH ST,19,1,dss,2011.0
201005944,2011-07-12 12:00:00,11458 S DRAKE AVE,19,1,dss,2011.0
201005137,2011-07-18 12:00:00,9811 S HAMILTON AVE,19,1,dss,2011.0
201100357,2011-07-18 12:00:00,9629 S CHARLES ST,19,1,dss,2011.0
201100845,2011-07-18 12:00:00,11629 S LAFLIN ST,34,1,dss,2011.0
201100733,2011-07-18 12:00:00,10244 S PRINCETON AVE,9,1,dss,2011.0
201101511,2011-07-18 12:00:00,68 W 112TH PL,34,1,dss,2011.0
201100139,2011-07-18 12:00:00,11537 S MAPLEWOOD AVE,19,1,dss,2011.0
201100323,2011-07-19 12:00:00,4353 W VAN BUREN ST,28,2,dss,2011.0
201005998,2011-07-19 12:00:00,11107 S WESTERN AVE,19,1,dss,2011.0
201004886,2011-07-19 12:00:00,1819 S TROY ST,24,1,dss,2011.0
201006224,2011-07-19 12:00:00,2313 W 91ST ST,19,1,dss,2011.0
201000582,2011-07-20 12:00:00,10338 S BELL AVE,19,1,dss,2011.0
201005615,2011-07-20 12:00:00,10629 S HAMILTON AVE,19,1,dss,2011.0
201100768,2011-07-20 12:00:00,2501 W 114TH ST,19,3,dss,2011.0
201005899,2011-07-20 12:00:00,10620 S RIDGEWAY AVE,19,1,dss,2011.0
201100718,2011-07-20 12:00:00,9943 S PEORIA ST,34,1,dss,2011.0
201101190,2011-07-21 12:00:00,10533 S MAPLEWOOD AVE,19,1,dss,2011.0
201006024,2011-07-22 12:00:00,9138 S COMMERCIAL AVE,10,1,dss,2011.0
201006156,2011-07-22 12:00:00,8549 S EGGLESTON AVE,21,1,dss,2011.0
201100265,2011-07-22 12:00:00,12620 S YALE AVE,9,1,dss,2011.0
201100037,2011-07-22 12:00:00,1023 W 85TH ST,21,3,dss,2011.0
201000300,2011-07-22 12:00:00,9357 S ELIZABETH ST,21,2,dss,2011.0
201100022,2011-07-22 12:00:00,1025 W 85TH ST,21,1,dss,2011.0
201003015,2011-07-22 12:00:00,8817 S MORGAN ST,21,1,dss,2011.0
201103444,2011-07-22 12:00:00,8907 S COMMERCIAL AVE,10,1,dss,2011.0
201006017,2011-07-25 12:00:00,1551 W 95TH ST,21,10,dss,2011.0
201005909,2011-07-26 12:00:00,154 W 95TH ST,21,1,dss,2011.0
201100258,2011-07-26 12:00:00,8835 S PAULINA ST,21,1,dss,2011.0
201101071,2011-07-26 12:00:00,8345 S MORGAN ST,21,1,dss,2011.0
201100291,2011-07-26 12:00:00,9556 S UNION AVE,21,1,dss,2011.0
201101554,2011-07-26 12:00:00,9011 S LAFLIN ST,21,2,dss,2011.0
201005790,2011-07-26 12:00:00,1124 W 107TH PL,34,1,dss,2011.0
201101249,2011-07-26 12:00:00,8349 S MORGAN ST,21,1,dss,2011.0
201101018,2011-07-26 12:00:00,9037 S MAY ST,21,1,dss,2011.0
201000056,2011-07-27 12:00:00,1621 S KEDVALE AVE,24,1,dss,2011.0
201005920,2011-07-27 12:00:00,2544 S KEDVALE AVE,22,1,dss,2011.0
201103779,2011-07-27 12:00:00,1623 S KEDVALE AVE,24,1,dss,2011.0
201005157,2011-07-28 12:00:00,1544 W ADDISON ST,44,1,dss,2011.0
201006153,2011-07-28 12:00:00,621 W BARRY AVE,44,1,dss,2011.0
201005189,2011-07-28 12:00:00,1439 W ADDISON ST,44,1,dss,2011.0
201005190,2011-07-28 12:00:00,1433 W ADDISON ST,44,1,dss,2011.0
201103763,2011-07-28 12:00:00,866 W 85TH ST,21,1,dss,2011.0
201101259,2011-07-28 12:00:00,656 W ALDINE AVE,44,1,dss,2011.0
201005071,2011-07-28 12:00:00,632 W BARRY AVE,44,1,dss,2011.0
201006199,2011-07-28 12:00:00,3344 N ASHLAND AVE,47,1,dss,2011.0
201100109,2011-07-28 12:00:00,713 W BARRY AVE,44,1,dss,2011.0
201005073,2011-07-28 12:00:00,3713 N ASHLAND AVE,44,1,dss,2011.0
201005183,2011-07-28 12:00:00,1520 W ADDISON ST,44,1,dss,2011.0
201100706,2011-07-28 12:00:00,930 W BARRY AVE,44,1,dss,2011.0
201004902,2011-07-29 12:00:00,3003 N CLIFTON AVE,44,1,dss,2011.0
201004899,2011-07-29 12:00:00,956 W CORNELIA AVE,44,1,dss,2011.0
201100548,2011-07-29 12:00:00,825 W BUCKINGHAM PL,44,1,dss,2011.0
201100520,2011-07-29 12:00:00,3657 N BOSWORTH AVE,44,1,dss,2011.0
201003530,2011-07-29 12:00:00,421 W BELMONT AVE,44,1,dss,2011.0
201005994,2011-07-29 12:00:00,1012 W BELMONT AVE,44,1,dss,2011.0
201003743,2011-07-29 12:00:00,1217 W CORNELIA AVE,44,1,dss,2011.0
201005147,2011-07-29 12:00:00,1301 W BYRON ST,44,1,dss,2011.0
201100477,2011-07-29 12:00:00,3239 N CLIFTON AVE,44,1,dss,2011.0
201100519,2011-07-29 12:00:00,3730 N BOSWORTH AVE,44,1,dss,2011.0
201005182,2011-07-29 12:00:00,3600 N BOSWORTH AVE,44,1,dss,2011.0
201005224,2011-08-01 12:00:00,840 W GEORGE ST,44,1,dss,2011.0
201002855,2011-08-01 12:00:00,538 W HAWTHORNE PL,44,1,dss,2011.0
201004757,2011-08-01 12:00:00,3703 N GREENVIEW AVE,44,1,dss,2011.0
201005817,2011-08-01 12:00:00,616 W DIVERSEY PKWY,44,1,dss,2011.0
201004535,2011-08-01 12:00:00,1225 W EDDY ST,44,1,dss,2011.0
201005675,2011-08-01 12:00:00,823 W GEORGE ST,44,1,dss,2011.0
201001962,2011-08-01 12:00:00,1163 W EDDY ST,44,1,dss,2011.0
201005120,2011-08-01 12:00:00,1122 W DIVERSEY PKWY,44,1,dss,2011.0
201003648,2011-08-01 12:00:00,3117 N KENMORE AVE,44,1,dss,2011.0
201005129,2011-08-01 12:00:00,1012 W DIVERSEY PKWY,44,1,dss,2011.0
201005140,2011-08-01 12:00:00,1142 W DIVERSEY PKWY,44,1,dss,2011.0
201004912,2011-08-01 12:00:00,1201 W EDDY ST,44,1,dss,2011.0
201100624,2011-08-02 12:00:00,1108 W GEORGE ST,44,1,dss,2011.0
201005277,2011-08-02 12:00:00,1041 W GRACE ST,44,1,dss,2011.0
